Title,BuildingName,ApartmentNumber,FullAddress,Bedrooms,Bathrooms
Thorndale - Apartment 1,Thorndale Apartments,Apartment 1,"Apartment 1, 4 Thorndale Avenue, Belfast, BT14 6BL",2,1
Thorndale - Apartment 2,Thorndale Apartments,Apartment 2,"Apartment 2, 4 Thorndale Avenue, Belfast, BT14 6BL",2,1
Thorndale - Apartment 3,Thorndale Apartments,Apartment 3,"Apartment 3, 4 Thorndale Avenue, Belfast, BT14 6BL",2,1
Thorndale - Apartment 4,Thorndale Apartments,Apartment 4,"Apartment 4, 4 Thorndale Avenue, Belfast, BT14 6BL",2,1
Thorndale - Apartment 5,Thorndale Apartments,Apartment 5,"Apartment 5, 4 Thorndale Avenue, Belfast, BT14 6BL",2,1
Thorndale - Apartment 6,Thorndale Apartments,Apartment 6,"Apartment 6, 4 Thorndale Avenue, Belfast, BT14 6BL",2,1
Antrim Road - 158 Antrim,Antrim Road Apartments,158 Antrim,"158 Antrim Road, Belfast, BT15 2BZ",1,1
Antrim Road - 2b,Antrim Road Apartments,2B,"2B Duncairn Avenue, Belfast, BT14 6BH",1,1
Antrim Road - Apartment 1,Antrim Road Apartments,Apartment 1,"2A Duncairn Avenue, Apartment 1, Belfast, BT14 6BH",1,1
Antrim Road - Apartment 2,Antrim Road Apartments,Apartment 2,"2A Duncairn Avenue, Apartment 2, Belfast, BT14 6BH",1,1
Antrim Road - Apartment 3,Antrim Road Apartments,Apartment 3,"2A Duncairn Avenue, Apartment 3, Belfast, BT14 6BH",1,1
Antrim Road - Apartment 4,Antrim Road Apartments,Apartment 4,"2A Duncairn Avenue, Apartment, Belfast, BT14 6BH",1,1
